Year,Account,Bundle,Total_Amount,Total_Orders,Avg_Order_Value,Segment
2023,JSat Automation Inc.,Sierra Wireless,796.81,1,796.81,One-time/Low Value
2023,Jakoby-cor,Other,501.43,1,501.43,One-time/Low Value
2023,Johnson & Johnson,Professional Services,1500.0,1,1500.0,One-time/Low Value
2023,Johnson & Johnson,Use Cases,12352.94,1,12352.94,Needs Nurture
2023,Johnson Controls,Sierra Wireless,480.64,1,480.64,One-time/Low Value
2023,Johnston Technical Services,Sierra Wireless,3382.45,1,3382.45,Needs Nurture
2023,KYTC,Other,11935.66,3,3978.553333333333,Champions
2023,KYTC,Sierra Wireless,493945.98,8,61743.2475,Champions
2023,Kenergy,Cambium Networks,19659.04,3,6553.013333333333,Champions
2023,Kentucky American Water,Sierra Wireless,1400.48,1,1400.48,One-time/Low Value
2023,Kinder Morgan,Cambium Networks,6820.88,1,6820.88,Needs Nurture
2023,Kit Communications,Sierra Wireless,0.0,1,0.0,One-time/Low Value
2023,Kokosing Construction,Sierra Wireless,2340.46,1,2340.46,One-time/Low Value
2023,Kupper Engineering,Sierra Wireless,2660.0,1,2660.0,One-time/Low Value
2023,LA City,Sierra Wireless,3746.64,1,3746.64,Needs Nurture
2023,Larimer Emergency Telephone Authority,Sierra Wireless,3813.32,1,3813.32,Promising/New
2023,Las Cruces,Sierra Wireless,1511.18,1,1511.18,Promising/New
2023,Leading Integration,Sierra Wireless,811.09,1,811.09,One-time/Low Value
2023,Leidos,Sierra Wireless,817264.0,1,817264.0,Needs Nurture
2023,Lenco Armored Vehicles,Sierra Wireless,2254.5,1,2254.5,One-time/Low Value
2023,Link Media Outdoor,Sierra Wireless,678.11,2,339.055,Loyal
2023,Linkan Engineering,Sierra Wireless,870.85,1,870.85,One-time/Low Value
2023,MARTA,Sierra Wireless,1700.07,2,850.035,Loyal
2023,MWI Direct,Sierra Wireless,1567.1,1,1567.1,One-time/Low Value
2023,Maher Terminal Port Elizabeth,Nokia,31286.55,2,15643.275,Champions
2023,Major Projects LLC,Sierra Wireless,2059.67,1,2059.67,Promising/New
2023,Maryland American Water,Sierra Wireless,7992.0,2,3996.0,At Risk
2023,Maxim Automation,Sierra Wireless,15698.69,7,2242.67,Champions
2023,Metropolitan Airports Commission,Sierra Wireless,349.77,1,349.77,One-time/Low Value
2023,Micro Enterprise NJ,Sierra Wireless,65050.8,1,65050.8,Big Spenders
2023,Missouri American Water,Sierra Wireless,22997.24,8,2874.655,Big Spenders
2023,Mon Valley Integration,Sierra Wireless,4629.98,5,925.996,Loyal
2023,Monumental Sports,Cambium Networks,59617.09,3,19872.36333333333,Champions
2023,Musco Lighting,Sierra Wireless,5377.38,1,5377.38,Needs Nurture
2023,NJ American Water,Sierra Wireless,33685.22,3,11228.40666666667,At Risk
2023,NMTS New Mexico Tech Seismological Observatory,Sierra Wireless,1589.36,1,1589.36,Promising/New
2023,Namaste Solar,Sierra Wireless,650.61,1,650.61,One-time/Low Value
2023,Neptune Technology Group,Sierra Wireless,5986.6,3,1995.533333333333,Loyal
